機關名稱,所屬大隊/分類,單位名稱,系統代碼,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,局本部,局本部,CY001,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,救災救護指揮科,救災救護指揮科,CY002,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,教育訓練科,教育訓練科,CY003,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,火災調查科,火災調查科,CY004,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,災害搶救科,災害搶救科,CY005,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,災害搶救科,車輛保養場,CY006,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,災害管理科,災害管理科,CY007,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,災害預防科,災害預防科,CY008,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第一消防大隊,第一消防大隊,CY009,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第一消防大隊,第一消防分隊,CY010,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第一消防大隊,湖內消防分隊,CY011,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第一消防大隊,德安消防分隊,CY012,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第二消防大隊,第二消防大隊,CY013,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第二消防大隊,第二消防分隊,CY014,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第二消防大隊,後湖消防分隊,CY015,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,第二消防大隊,蘭潭消防分隊,CY016,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,緊急救護科,緊急救護科,CY017,,,,,,,,,,,,,,,,,,,,,,
嘉義市政府消防局,行政科,行政科,CY018,,,,,,,,,,,,,,,,,,,,,,
